"NOME ITA","NOME ENG","DESCRIZIONE ITA","DESCRIZIONE ENG","CATEGORIA","LATITUDINE (es. 46.281419)","LONGITUDINE (es. 11.523885)","VIA","CAP","LOCALITA'/CITTA'","CONTATTO NOME","CONTATTO TELEFONO","CONTATTO EMAIL","CONTATTO FAX","CONTATTO URL","ORARI ITA","ORARI ENG","SERVIZI ITA","SERVIZI ENG","PREZZI ITA","PREZZI ENG","TAG 1","TAG 2","TAG 3","TAG 4","TAG AGGIUNTIVI","CAPIENZA ITA","CAPIENZA ENG","STORIA ITA","STORIA ENG","CURIOSITA' ITA","CURIOSITA' ENG","COME ARRIVARE ITA","COME ARRIVARE ENG","ACCESSIBILITA' ITA","ACCESSIBILITA' ENG"
"via Cermis - Cavalese",,,,"parcheggio","46,285676","11,46529","Via Cermis",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"funivia Cermis - Cavalese",,,,"parcheggio","46,284556","11,47213","Via Cermis",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"piazza Autostazione - Cavalese",,,,"parcheggio","46,287856","11,462801","Piazza Autostazione",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"parco della Pieve - Cavalese",,,,"parcheggio","46,288507","11,461356","Via Bresadola",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"piazza Verdi - Cavalese",,,,"parcheggio","46,290138","11,460681","Piazza Verdi",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"Piazza Fiera - Cavalese",,,,"parcheggio","46,290273","11,461734","Piazza Fiera",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"Auditorium Palacongressi - Cavalese",,,,"parcheggio","46,289479","11,464679","Via F.lli Bronzetti 60",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"piazza Pasquai - Cavalese",,,,"parcheggio","46,290443","11,456482","Piazza Pasquai",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"Piazza Dante - Cavalese",,,,"parcheggio","46,292081","11,458705","Piazza Dante",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"via IX Novembre - Cavalese",,,,"parcheggio","46,292638","11,45705","Via IX Novembre",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"viale Dolomiti - Cavalese",,,,"parcheggio","46,290531","11,465401","Viale Dolomiti",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Pizzegoda - Cavalese",,,,"parcheggio","46,290843","11,464017","Via Pizzegoda",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Pizzegoda garage - Cavalese",,,,"parcheggio","46,291532","11,462526","Via Pizzegoda",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Bronzetti garage - Cavalese",,,,"parcheggio","46,290524","11,463331","Via Bronzetti 60",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Rossini - Cavalese",,,,"parcheggio","46,289701","11,466345","Via Rossini",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"ospedale - Cavalese",,,,"parcheggio","46,289101","11,454984","Via Dossi 17",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Pillocco - Cavalese",,,,"parcheggio","46,285935","11,455949","Via Pillocco",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"campo sportivo - Cavalese",,,,"parcheggio","46,284489","11,453664","Campo sportivo",38033,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"funivia Latemar 2200 - Predazzo",,,,"parcheggio","46,326935","11,599758","Località Stalimen",38037,"Predazzo",,,,,,,,,,,,,,,,,,,,,,,,,,
"seggiovia Castelir, Le Fassane 1 - Bellamonte",,,,"parcheggio","46,312575","11,686351","Località Castelir",38030,"Bellamonte",,,,,,,,,,,,,,,,,,,,,,,,,,
"seggiovia Castelir, Le Fassane 2 - Bellamonte",,,,"parcheggio","46,312768","11,687467","Località Castelir",38030,"Bellamonte",,,,,,,,,,,,,,,,,,,,,,,,,,
"seggiovia Castelir, Le Fassane 3 - Bellamonte",,,,"parcheggio","46,312938","11,688067","Località Castelir",38030,"Bellamonte",,,,,,,,,,,,,,,,,,,,,,,,,,
"seggiovie Agnello, Latemar - Pampeago",,,,"parcheggio","46,34086","11,538218","Località Pampeago",38038,"Tesero",,,,,,,,,,,,,,,,,,,,,,,,,,
"Cimon - Passo Rolle",,,,"parcheggio","46,29628","11,785378","Via Passo Rolle, Fraz Siror ",38045,"San Martino di Castrozza",,,,,,,,,,,,,,,,,,,,,,,,,,
"Piazza Dolomiti - Carano",,,,"parcheggio","46,289916","11,433816","Piazza Dolomiti",38033,"Carano",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Val di Fiemme - Carano",,,,"parcheggio","46,290509","11,431305","Via Val di Fiemme",38033,"Carano",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Libertà - Carano",,,,"parcheggio","46,292489","11,436165","Via Libertà",38033,"Carano",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Val dell'Osta - Carano",,,,"parcheggio","46,292659","11,436766","Via Val dell'Osta",38033,"Carano",,,,,,,,,,,,,,,,,,,,,,,,,,
"piazza Mich - Carano",,,,"parcheggio","46,291577","11,438644","Piazza Mich",38033,"Carano",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Giovanelli (1) - Carano scuole elementari",,,,"parcheggio","46,29197","11,440414","Via Giovanelli",38033,"Carano",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Coltura - Carano",,,,"parcheggio","46,290724","11,44065","Via Coltura",38033,"Carano",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Giovanelli (2) - Carano",,,,"parcheggio","46,292748","11,443278","Via Giovanelli",38033,"Carano",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Giovanelli (3) - Carano",,,,"parcheggio","46,292518","11,446164","Via Giovanelli",38033,"Carano",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Chiesa - Masi di cavalese",,,,"parcheggio","46,283399","11,484874","Via Chiesa, Masi di Cavalese",38030,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"area festa campestre - Masi di Cavalese",,,,"parcheggio","46,283896","11,486258","Località Giaroni, Masi di Cavalese",38030,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"campo sportivo - Masi di Cavalese",,,,"parcheggio","46,283859","11,48098","Via Chiesa, Masi di Cavalese",38030,"Cavalese",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Delvau - Varena",,,,"parcheggio","46,302763","11,456174","Via Delvai",38030,"Varena",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Alpini (1) - Varena",,,,"parcheggio","46,304452","11,456722","Via Alpini",38030,"Varena",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Alpini (2) - Varena",,,,"parcheggio","46,305379","11,458331","Via Alpini",38030,"Varena",,,,,,,,,,,,,,,,,,,,,,,,,,
"campo sportivo - Varena",,,,"parcheggio","46,308336","11,465873","Località Cantelger",38030,"Varena",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Pasqualine - Daiano",,,,"parcheggio","46,302874","11,452258","Via Pasqualine",38030,"Daiano",,,,,,,,,,,,,,,,,,,,,,,,,,
"via al Cervo - Daiano",,,,"parcheggio","46,301221","11,452248","Via al Cervo",38030,"Daiano",,,,,,,,,,,,,,,,,,,,,,,,,,
"via S. Tommaso - Daiano",,,,"parcheggio","46,300161","11,448375","Via San Tommaso",38030,"Daiano",,,,,,,,,,,,,,,,,,,,,,,,,,
