"NOME ITA","NOME ENG","DESCRIZIONE ITA","DESCRIZIONE ENG","CATEGORIA","LATITUDINE (es. 46.281419)","LONGITUDINE (es. 11.523885)","VIA","CAP","LOCALITA'/CITTA'","CONTATTO NOME","CONTATTO TELEFONO","CONTATTO EMAIL","CONTATTO FAX","CONTATTO URL","ORARI ITA","ORARI ENG","SERVIZI ITA","SERVIZI ENG","PREZZI ITA","PREZZI ENG","TAG 1","TAG 2","TAG 3","TAG 4","TAG AGGIUNTIVI","CAPIENZA ITA","CAPIENZA ENG","STORIA ITA","STORIA ENG","CURIOSITA' ITA","CURIOSITA' ENG","COME ARRIVARE ITA","COME ARRIVARE ENG","ACCESSIBILITA' ITA","ACCESSIBILITA' ENG"
"ALBERGO RISTORANTE DUE LAGHI",,,,"Ristorante","46.1508","'11.273","LOCALITA' CAMPOLONGO, 116",38042,"BASELGA DI PINE'",,"+39 0461 554074 ","info@albergoduelaghi.it","+39 0461 554613 ","www.albergoduelaghi.it",,,,,,,,,,,,,,,,,,,,,
"ACCADEMIA DEL VINO CADELAGHET",,,,"negozio","46.088479","'11.180498","VIA ROMA 13",38045,"CIVEZZANO",,"+39 0461 859045",,," accademiadelvino.it",,,,,,,,,,,"Cantina",,,,,,,,,,
"AFFITTACAMERE LO SCALCO",,"In un vecchio edificio in pietra del `600, nel cuore del Trentino e della val di Cembra, nota per i suoi vigneti, nasce oggi la Locanda dello Scalco. Ubicata in posizione isolata e dominante sull&acute;intera valle, la Locanda &egrave; completamente immersa nel verde e nel silenzio della natura ed &egrave; il luogo ideale per chi voglia rilassarsi e rigenerasi lontano dai rumori e dalla frenesia della vita quotidiana. L&acute;edificio ristrutturato con passione e pazienza dai proprietari, offre otto camere tutte finemente arredate, una diversa dall&acute;altra sia per colori che per metratura. Vi sono tre camere grandi e cinque medie. Ogni camera dispone di vasca idromassaggio, asciugacapelli, cromoterapia, aromoterapia, cassaforte, tv satellitare, frigobar, impianto stereo, linea telefonica diretta, presa isdn per accesso ad internet inoltre nelle camere grandi la cromoterapia render&agrave; ancora pi&ugrave; piacevole la vostra permanenza. Nel passato la casa fu il maso del castello di Segonzano, castello di cui oggi si possono ammirare i ruderi e dipinto dal famoso pittore tedesco Albrecht Duerer nel 1496 durante un suo viaggio in Italia. Nell&acute;elegante ristorante o nel panoramico giardino potete gustare i piatti della cucina trentina e italiana, o rilassarvi dopo una passeggiata gustando sfiziose merende con salumi e formaggi accompagnati da ottimi vini.",,"affittocamere","'46.18639","'11.252451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AFFITTACAMERE MASO SVESERI",,"Il Ristorante Maso Sveseri, a conduzione familiare, ha iniziato la sua attivit&agrave; nel 1984 come Agritur, e tutt'ora propone specialit&agrave; casalinghe, frutto di una lunga esperienza al servizio di chi ricerca la buona cucina. Il ristorante Maso Sveseri &egrave; anche un'affermata gelateria e un'ottima pizzeria. Infine &egrave; dotato di cinque confortevoli camere in mansarda.","The Maso Sveseri, a family concern, opened in 1984 as an agritur, and continues to offer home-made specialities and traditional favourites for those who appreciate good food. We are also able to offer a refined ice-cream parlour, due to our experience of over ten years in the field. In  1997 we added our pizzeria which offers delicious pizzas cooked to perfection in our computerized wood burning oven. Finally we have five attic rooms offering 15 beds in all, which has the advantage on our restaurant and facilities, situated between two splendid Trentino valleys - the Cembra Valley and the High Plain of Pine, half an hour car ride from the very heart of the Dolomites.","affittocamere","'46.20683","'11.32401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGRITUR AGRIGELATERIA LA CA' SUL LAGO",,"Immerso nel verde in riva al lago di Baselga....La CA' Sul Lago offre ospitalità a coppie e famiglie che vogliono trascorrere una vacanza a contatto con la natura in unambiente confortevole e accogliente. Il soggiorno prevede pernottamento e prima colazione. I cinque appartamenti, serviti da ascensore, sono composti da cucina attrezzata, soggiorno, bagno e balcone con vista sul lago.Le stanze sono arredate in legno massiccio,disponibili da due a quattro posti letto. Nel servizio è compresa la biancheria da letto e da bagno. Questa soluzione è stata scelta per garantire libertà di movimento ai nostri ospiti.A disposizione degli ospiti un ampio giardino esterno e una splendida vista sul lago adiacente.",,"agriturismo","'46.140541287","'11.256952286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGRITUR AI SERCI",,,,"Agriturismo","46.163889","11.14","FR. SERCI, 8/a",38030,"GIOVO",,"+39 338 3035723","info@agrituraiserci.it",,"www.agrituraiserci.it",,,,,,,,,,,"Agritur",,,,,,,,,,
"AGRITUR LA STROPAIA",,,,"Agriturismo","46.1306462","11.2582287","Via Della Prestala n. 20",38042,"BASELGA DI PINE'",,"+39 349 5703243 +39 0461 557578 ","lastropaia@email.it",,"www.lastropaia.it",,,,,,,,,,,"Agritur",,,,,,,,,,
"AGRITUR LE CAVADE",,,,"Agriturismo","46.1704","11.2191","LOCAITA' CAVADE, 1",38034,"CEMBRA",,"+39 328 0289922","info@agriturlecavade.it",,"www.agriturlecavade.it",,,,,,,,,,,"Agritur",,,,,,,,,,
"AGRITUR MASO POMAROLLI",,"Azienda fruttiviticola, situata all'inizio della Valle di Cembra in zona panoramica. E' un punto di partenza ideale per visitare gli storici terrazzamenti vitati della valle e le rinomate piramidi di Segonzano. Genuinit&agrave; e tradizione. Con queste due semplici ma quanto mai significativi termini si pu&ograve; riassumere la filosofia che guida l'Agritur Maso Pomarolli. Offre pernottamento con possibilit&agrave; di pensione a 15 ospiti e ristorazione.",,"agriturismo","'46.1570","'11.1314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGRITUR MASO VAL FRAJA",,"Collocato in localit&agrave; Val Fraia del comune di Cembra, l'agritur offre ospitalit&agrave; sia in stanze sia in appartamenti di recente realizzazione. A disposizione degli ospiti c'&egrave; un locale in comune per la predisposizione delle colazioni.",,"agriturismo","'46.1702","'11.2148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
