"NOME ITA","NOME ENG","DESCRIZIONE ITA","DESCRIZIONE ENG","CATEGORIA","LATITUDINE (es. 46.281419)","LONGITUDINE (es. 11.523885)","VIA","CAP","LOCALITA'/CITTA'","CONTATTO NOME","CONTATTO TELEFONO","CONTATTO EMAIL","CONTATTO FAX","CONTATTO URL","ORARI ITA","ORARI ENG","SERVIZI ITA","SERVIZI ENG","PREZZI ITA","PREZZI ENG","TAG 1","TAG 2","TAG 3","TAG 4","TAG AGGIUNTIVI","CAPIENZA ITA","CAPIENZA ENG","STORIA ITA","STORIA ENG","CURIOSITA' ITA","CURIOSITA' ENG","COME ARRIVARE ITA","COME ARRIVARE ENG","ACCESSIBILITA' ITA","ACCESSIBILITA' ENG"
"1500 Lire Shop",,"negozio  ",,"negozio","46,061275863881","11,2414598464966","Via Crivelli, 24",38057,"Pergine Valsugana",,"+39 (0461) 532176",,,,,,,,,,,,,,"accessori a poco prezzo",,,,,,,,,,
"21.1 Beach",,,,"Bar","46,0383640230709","11,2376511096954","Via dei Pescatori, 4 - S.Cristoforo",38057,"Pergine Valsugana",,,,,,"aperto d'estate
lunedì chiuso",,,,,,,,,,,,,,,,,,,,
"A.B. Intimo di Alessi & Brunelli snc",,"Negozio Abbigliamento Intimo",,"abbigliamento","46,0628243226525","11,2402153015137","Via Chimelli, 18",38057,"Pergine Valsugana",,"+39 (0461) 510314",,,,,,,,,,,,,,"abbigliamento intimo",,,,,,,,,,
"Abbigliamento all'Angolo",,"abbigliamento",,"abbigliamento","46,0620054315974","11,2430262565613","Via Battisti, 28",38057,"Pergine Valsugana",,"+39 (0461) 510313",,,,,,,,,,,,,,"abbigliamento",,,,,,,,,,
"Abdi Dr. Mehdi",,"Parafarmacia",,"Farmacia","46,0664124111509","11,2405371665955","Via Regensburger, 53",38057,"Pergine Valsugana",,"+39 (0461) 530622",,,,,,,,,,"Salute","Benessere",,,"parafarmacia, farmacia, erboristeria",,,,,,,,,,
"Admiral Club - Adria Gaming Bolzano",,"sala giochi",,"negozio","46,0631072094671","11,2341213226318","Via Petrarca, 2",38057,"Pergine Valsugana",,,,,,"lunedì chiuso",,,,,,,,,,"sala giochi, biliardi",,,,,,,,,,
"Agip Cafè",,"stazioneservizio","service station","Bar","46,0684371216425","11,2251305580139","Viale Dante, 302",38057,"Pergine Valsugana",,,,,,"sabato pomeriggio chiuso",,,,,,"socializzare",,,,,,,,,,,,,,
"AGIP di Banali Marco e C. Sas",,"stazioneservizio","service station","stazioneservizio","46,0763268288829","11,207857131958","Loc. Cire, 13",38057,"Pergine Valsugana",,"+39 (0461) 504695
+39 (0461) 538010",,,,,,,,,,,,,,"stazione di servizio, bar",,,,,,,,,,
"AGIP Stazione di Servizio",,"stazioneservizio","service station","stazioneservizio","46,068377572394","11,2253665924072","Viale Dante, 302",38057,"Pergine Valsugana",,"+39 (0461) 531252",,,,,,,,,,,,,,"distributore, benzinaio",,,,,,,,,,
"Ai Larici",,"Ristorante Pizzeria","Restaurant, pizzeria","Pizzeria","46,0514629858429","11,6548204421997","Loc. Celado",38053,"Castello Tesino",,"+39 (0461) 594147","ristoranteailarici@libero.it",,,,,,,,,"cucina tipica","carne",,,,,,,,,,,,,
"Al Box Grisenti Calovi Pneumatici",,"Pneumatici",,"automoto","46,060114491302","11,2370181083679","Viale Venezia, 26",38057,"Pergine Valsugana",,"+39 (0461) 532413",,,,,,,,,,,,,,"cambiogomme",,,,,,,,,,
"Al Brenta",,"Ristorante","Restaurant","Ristorante","46,0059048374363","11,2918639183044","Via Claudia Augusta, 17",38056,"Levico Terme",,"+39 (0461) 706131","info@albrenta.it",,"www.albrenta.it",,,,,,,,,,,,,,,,,,,,,
"Al Cacciatore",,"Ristorante Pizzeria","Restaurant, pizzeria","Pizzeria","46,035228449668","11,6472244262695","Loc. Pozze di Celado",38053,"Castello Tesino",,"+39 (0461) 594681",,,,,,,,,,"cucina tipica",,,,,,,,,,,,,,
"Al Cavalletto",,"restaurant","restaurant  ","Ristorante","46,0605090629309","11,2392926216125","Via Pennella, 15",38057,"Pergine Valsugana",,"+39 (0461) 531024",,,"www.ristorantealcavalletto.com","lunedì chiuso",,,,,,,,,,,,,,,,,,,,
"Al Cipriani",,"Ristorante","Restaurant","Ristorante","46,0162473579629","11,4467239379883","Via del Dosso, 121 - Val di Sella",38051,"Borgo Valsugana",,,,,"www.alcipriani.it","chiuso lunedì",,,,,,,,,,,,,,,,,,,,
"Al Conte ",,"Ristorante Pizzeria","Restaurant, pizzeria","Pizzeria","46,0114787127063","11,3021421432495","Via Regia, 8",38056,"Levico Terme",,"+39 (0461) 702302","info@alconte.eu",,"www.ristorantepizzeriaalconte.com",,,,,,,,,,,,,,,,,,,,,
"Al Corso",,"pizza al taglio","pizza slices","Ristorante","46,012246194315","11,2996101379395","Via Dante, 35",38056,"Levico Terme",,,,,,,,,,,,"cibo di strada",,,,,,,,,,,,,,
"Al Cristallo",,"Ristorante","Restaurant","Ristorante","46,0619458754105","11,2416529655457","Via Chimelli, 4",38057,"Pergine Valsugana",,"+39 (0461) 510301",,,"www.alcristallo.com",,,,,,,,,,,,,,,,,,,,,
"Al Faro",,,,"Ristorante","46,0369712844015","11,2433588504791","Via della Valsugana, 18 - Ischia",38057,"Pergine Valsugana",,"+39 (0461) 534663",,,,"martedì",,,,,,,,,,,,,,,,,,,,
"Al Moro",,"Ristorante","Restaurant","Ristorante","46,0613279761805","11,2424468994141","Via Tre Novembre, 22",38057,"Pergine Valsugana",,"+39 (0461) 532108",,,,"domenica chiuso",,,,,,,,,,,,,,,,,,,,
"Al Posta",,"Ristorante Pizzeria","Restaurant, pizzeria","Pizzeria","46,0613651992214","11,2383913993835","Via Pennella, 104",38057,"Pergine Valsugana",,"+39 (0461) 532274",,,,"domenica chiuso",,,,,,,,,,,,,,,,,,,,
"Al Volt",,"Ristorante tipico","Typical restaurant","Ristorante","46,0604643945862","11,2408590316772","Piazza Municipio, 10",38057,"Pergine Valsugana",,"+39 (0461) 532737",,,,"mercoledì chiuso",,,,,,"cucina tipica",,,,,,,,,,,,,,
"Alba",,,,"Bar","46,0616034260891","11,2374150753021","Piazza Gavazzi, 2",38057,"Pergine Valsugana",,"+39 (0461) 533210",,,,"domenica chiuso",,,,,,"socializzare",,,,,,,,,,,,,,
"Albergo Alla Comparsa",,"Ristorante","Restaurant","Ristorante","46,0941563885027","11,2337779998779","Loc. Guarda, 14",38057,"Pergine Valsugana",,"+39 (0461) 557707","info@albergocomparsa.it",,"www.albergocomparsa.it",,,,,,,,,,,,,,,,,,,,,
"Albergo Miramonti",,"Ristorante","Restaurant","Ristorante","46,0501524847217","11,2524461746216","Via alle Canzane, 5",38057,"Pergine Valsugana",,"+39 (0461) 531268","toccoli.maurizio@gmail.com",,,,,,,,,,,,,,,,,,,,,,,
"Albergo Ristorante Da Ciolda",,"Aperitivi, Ristorante","Aperitifs, Restaurant","Ristorante","46,0323682940693","11,2303447723389","Fraz. Valcanover, 95",38057,"Pergine Valsugana",,"+39 (0461) 548007","info@daciolda.it",,"www.daciolda.it",,,,,,,"socializzare","divertimento",,,,,,,,,,,,,
"Albergo Ristorante La Rotonda",,"Ristorante","Restaurant","Ristorante","46,058789305571","11,2375330924988","Viale Venezia, 37",38057,"Pergine Valsugana",,"+39 (0461) 531128","info@albergolarotonda.it",,"www.albergolarotonda.it",,,,,,,,,,,,,,,,,,,,,
"Albergo Ristorante Meridiana",,"Ristorante indiano","Indian Restaurant","Ristorante","46,0396971464544","11,2421035766602","Via della Valsugana, 7 - San Cristoforo",38057,"Pergine Valsugana",,"+39 (0461) 538039","albergomeridiana@alice.it",,,,,,,,,"cucina etnica",,,,,,,,,,,,,,
"Albergo Ristorante Pizzeria Cirè",,"Ristorante Pizzeria","resturant, pizzeria","Ristorante","46,0751","11,2107","Via per Trento, 3 - Cirè",38057,"Pergine Valsugana",,"+39 (0461) 538444","info@albergocire.com",,"www.albergocire.com",,,,,,,,,,,,,,,,,,,,,
"Albergo Ristorante Pizzeria Sedran",,"Ristorante Pizzeria","Restaurant, pizzeria","Pizzeria","46,0396077760603","11,2347435951233","Via alla Stazione, 4 - S. Cristoforo",38057,"Pergine Valsugana",,"+39 (0461) 531539","albergo@sedran.it",,"www.sedran.ti",,,,,,,,,,,,,,,,,,,,,
