"NOME ITA","NOME ENG","DESCRIZIONE ITA","DESCRIZIONE ENG","CATEGORIA","GPS LATITUDINE","GPS LONGITUDINE","Via","CAP","Località/Città","CONTATTO NOME","CONTATTO TELEFONO","CONTATTO EMAIL","CONTATTO FAX","CONTATTO URL","ORARI ITA","ORARI ENG","SERVIZI ITA","SERVIZI ENG","PREZZI ITA","PREZZI ENG","TAG 1","TAG 2","TAG 3","TAG 4","CAPIENZA ITA","CAPIENZA ENG","STORIA ITA","STORIA ENG","CURIOSITA' ITA","CURIOSITA' ENG","COME ARRIVARE ITA","COME ARRIVARE ENG","ACCESSIBILITA' ITA","ACCESSIBILITA' ENG"
"A LE DUE SPADE","A LE DUE SPADE","Osteria tipica Trentina; Strada del Vino e dei Sapori","Osteria tipica Trentina; Strada del Vino e dei Sapori","Ristorante","46.067225","11.120036","Via Don A. Rizzi, 11 ",38122,"Trento",,"(+39) 0461 234343","info@leduespade.com ","(+39) 0461 920202 ","www.leduespade.com",,,,,,,"tag1","tag2",,,,,,,,,,,,
"AL VO’","AL VO’","Osteria tipica Trentina; Strada del Vino e dei Sapori","Osteria tipica Trentina; Strada del Vino e dei Sapori","Ristorante","46.070791","11.123888","Vicolo del Vo’, 11",38122,"Trento",,"(+39) 0461 985374","info@ristorantealvo.it","(+39) 0461 232131","www.ristorantealvo.it",,,,,,,"tag1","tag2",,,,,,,,,,,,
"AL VOLT","AL VOLT","Osteria Tipica Trentina","Osteria Tipica Trentina","Ristorante","46.142050","11.155242","Via Santa Croce ,16 ",38122,"Trento",,"(+39) 0461 983776","trattoria_al_volt@yahoo.it ","(+39) 0461 091011 ",,,,,,,,,,,,,,,,,,,,,
"DUE MORI ","DUE MORI ","Osteria tipica Trentina; Strada del Vino e dei Sapori","Osteria tipica Trentina; Strada del Vino e dei Sapori","Ristorante","46.064622","11.123308","Via S. Marco, 11",38122,"Trento",,"(+39) 0461 984251","info@ristoranteduemori.com","(+39) 0461 231201 ","www.ristoranteduemori.com",,,,,,,,,,,,,,,,,,,,
"GREEN TOWER","GREEN TOWER","Osteria tipica Trentina; Strada del Vino e dei Sapori","Osteria tipica Trentina; Strada del Vino e dei Sapori","Ristorante","46.069691","11.121088","Piazza S. Pellico, 12 ",38122,"Trento",,"(+39) 0461 231545","info@ristorantegreentower.it","(+39) 0461 231545","www.ristorantegreentower.it",,,,,,,,,,,,,,,,,,,,
"HOTEL RELAIS VILLA MADRUZZO","HOTEL RELAIS VILLA MADRUZZO","Osteria tipica Trentina; Strada del Vino e dei Sapori","Osteria tipica Trentina; Strada del Vino e dei Sapori","Ristorante","46.074016","11.146816","Via Ponte Alto, 26",38121,"Cognola",,"(+39) 0461 986220","info@villamadruzzo.it","(+39) 0461 986361","www.villamadruzzo.it",,,,,,,,,,,,,,,,,,,,
"IL LIBERTINO","IL LIBERTINO","Osteria tipica Trentina; Strada del Vino e dei Sapori","Osteria tipica Trentina; Strada del Vino e dei Sapori","Ristorante","46.070125","11.124925","Piazza Piedicastello, 4-6 ",38122,"Trento",,"(+39) 0461 260085","libertinotn@gmail.com",,"www.ristoranteillibertino.com",,,,,,,,,,,,,,,,,,,,
"LA CANTINOTA","LA CANTINOTA","Osteria Tipica Trentina","Osteria Tipica Trentina","Ristorante","46.069691","11.121088","Via S. Marco, 22-24",38122,"Trento",,"(+39) 0461 238527","cantinota@hotmail.it","(+39) 0461 238527","www.cantinota.editarea.com",,,,,,,,,,,,,,,,,,,,
"SCRIGNO DEL DUOMO","SCRIGNO DEL DUOMO","Osteria tipica Trentina; Strada del Vino e dei Sapori","Osteria tipica Trentina; Strada del Vino e dei Sapori","Ristorante","46.067352","11.120883","Piazza Duomo, 29",38122,"Trento",,"(+39) 0461 220030","info@scrignodelduomo.com","(+39) 0461 235289 ","www.scrignodelduomo.com ",,,,,,,,,,,,,,,,,,,,
"AI TRE GAROFANI","AI TRE GAROFANI","Strada del Vino e dei Sapori di Trento e Valsugana","Strada del Vino e dei Sapori di Trento e Valsugana","Ristorante","46.0657","11.123022","Via Giuseppe Mazzini, 33 ",38122,"Trento",,"(+39) 0461 237543","prenotazioni@aitregarofani.com","(+39) 349 6358908","www.aitregarofani.com",,,,,,,,,,,,,,,,,,,,
